,Course Code,Name,Req,Credits,Begin Date,End Date,Instructor,M,T,W,R,F,start_time,end_time,location
103,ENGR4190-07,SCOPE: Senior Capstone Program in Engineering,,4,2020-01-22,2020-05-01,"Sarang-Sieminski, Alisha",0,0,1,0,0,09:00:00,18:00:00,"MAIN Campus, Olin Campus"
104,ENGR4190-08,SCOPE: Senior Capstone Program in Engineering,,4,2020-01-22,2020-05-01,"Stein, Lynn Andrea",0,0,1,0,0,09:00:00,18:00:00,"MAIN Campus, Olin Campus"
105,ENGR4190-09,SCOPE: Senior Capstone Program in Engineering,,4,2020-01-22,2020-05-01,"Ferzoco, Alessandra",0,0,1,0,0,09:00:00,18:00:00,"MAIN Campus, Olin Campus"
106,ENGR4190-10,SCOPE: Senior Capstone Program in Engineering,,4,2020-01-22,2020-05-01,"Stein, Lynn Andrea",0,0,1,0,0,09:00:00,18:00:00,"MAIN Campus, Olin Campus"
107,ENGR4190-11,SCOPE: Senior Capstone Program in Engineering,,4,2020-01-22,2020-05-01,"Hersey, Scott Oakley",0,0,1,0,0,09:00:00,18:00:00,"MAIN Campus, Olin Campus"
108,ENGR4190-12,SCOPE: Senior Capstone Program in Engineering,,4,2020-01-22,2020-05-01,"Ferzoco, Alessandra",0,0,1,0,0,09:00:00,18:00:00,"MAIN Campus, Olin Campus"
109,ENGR4190-13,SCOPE: Senior Capstone Program in Engineering,,4,2020-01-22,2020-05-01,"Stein, Lynn Andrea",0,0,1,0,0,09:00:00,18:00:00,"MAIN Campus, Olin Campus"
110,ENGR4190-14,SCOPE: Senior Capstone Program in Engineering,,4,2020-01-22,2020-05-01,"Hersey, Scott Oakley",0,0,1,0,0,09:00:00,18:00:00,"MAIN Campus, Olin Campus"
111,ENGR4290-01,Affordable Design and Entrepreneurship Engineering Capstone,,4,2020-01-22,2020-05-01,"Linder, Benjamin",0,1,0,0,0,15:30:00,18:30:00,"MAIN Campus, Babson College Campus, Weissman Foundry"
112,ENGR4290-01,Affordable Design and Entrepreneurship Engineering Capstone,,4,2020-01-22,2020-05-01,"Linder, Benjamin",0,0,0,1,0,15:30:00,17:30:00,"MAIN Campus, Babson College Campus, Weissman Foundry"
113,ENGX2000-01,Quantitative Engineering Analysis 1a,,4,2020-01-22,2020-05-01,"Geddes, John B.",1,0,0,1,0,09:00:00,12:30:00,"MAIN Campus, Academic Center, AC109-Classroom"
114,ENGX2000-01,Quantitative Engineering Analysis 1a,,4,2020-01-22,2020-05-01,"Houston-Edwards, Kelsey",1,0,0,1,0,09:00:00,12:30:00,"MAIN Campus, Academic Center, AC109-Classroom"
115,ENGX2000-01,Quantitative Engineering Analysis 1a,,4,2020-01-22,2020-05-01,"Ruvolo, Paul",1,0,0,1,0,09:00:00,12:30:00,"MAIN Campus, Academic Center, AC109-Classroom"
116,ENGX2000-01,Quantitative Engineering Analysis 1a,,4,2020-01-22,2020-05-01,"Somerville, Mark",1,0,0,1,0,09:00:00,12:30:00,"MAIN Campus, Academic Center, AC109-Classroom"
117,ENGX2000-01,Quantitative Engineering Analysis 1a,,4,2020-01-22,2020-05-01,"Vanasupa, Linda",1,0,0,1,0,09:00:00,12:30:00,"MAIN Campus, Academic Center, AC109-Classroom"
118,ENGX2000-01,Quantitative Engineering Analysis 1a,,4,2020-01-22,2020-05-01,"Geddes, John B.",1,0,0,1,0,09:00:00,12:30:00,"MAIN Campus, Academic Center, AC113-Classroom"
119,ENGX2000-01,Quantitative Engineering Analysis 1a,,4,2020-01-22,2020-05-01,"Geddes, John B.",1,0,0,1,0,09:00:00,12:30:00,"MAIN Campus, Academic Center, AC128-ProjLab Multi Medi"
